Occupation,Total,Race,Percentage
"Electrical, electronics, and electromechanical assemblers",91,Women,42.2
"Electrical, electronics, and electromechanical assemblers",91,White,59.5
"Electrical, electronics, and electromechanical assemblers",91,Black/African American,12.4
"Electrical, electronics, and electromechanical assemblers",91,Asian,18
"Electrical, electronics, and electromechanical assemblers",91,Hispanic/Latino,17.2
Engine and other machine assemblers,7,Women,NA
Engine and other machine assemblers,7,White,NA
Engine and other machine assemblers,7,Black/African American,NA
Engine and other machine assemblers,7,Asian,NA
Engine and other machine assemblers,7,Hispanic/Latino,NA
Structural metal fabricators and fitters,21,Women,NA
Structural metal fabricators and fitters,21,White,NA
Structural metal fabricators and fitters,21,Black/African American,NA
Structural metal fabricators and fitters,21,Asian,NA
Structural metal fabricators and fitters,21,Hispanic/Latino,NA
Other assemblers and fabricators,872,Women,32.7
Other assemblers and fabricators,872,White,69
Other assemblers and fabricators,872,Black/African American,18.7
Other assemblers and fabricators,872,Asian,8.1
Other assemblers and fabricators,872,Hispanic/Latino,20.7
Bakers,235,Women,64.1
Bakers,235,White,77
Bakers,235,Black/African American,11.8
Bakers,235,Asian,6.7
Bakers,235,Hispanic/Latino,26.9
"Butchers and other meat, poultry, and fish processing workers",266,Women,25.7
"Butchers and other meat, poultry, and fish processing workers",266,White,75.1
"Butchers and other meat, poultry, and fish processing workers",266,Black/African American,16.2
"Butchers and other meat, poultry, and fish processing workers",266,Asian,5.5
"Butchers and other meat, poultry, and fish processing workers",266,Hispanic/Latino,40.1
"Food and tobacco roasting, baking, and drying machine operators and tenders",10,Women,NA
"Food and tobacco roasting, baking, and drying machine operators and tenders",10,White,NA
"Food and tobacco roasting, baking, and drying machine operators and tenders",10,Black/African American,NA
"Food and tobacco roasting, baking, and drying machine operators and tenders",10,Asian,NA
"Food and tobacco roasting, baking, and drying machine operators and tenders",10,Hispanic/Latino,NA
Food batchmakers,94,Women,56.8
Food batchmakers,94,White,86.9
Food batchmakers,94,Black/African American,7.2
Food batchmakers,94,Asian,2.8
Food batchmakers,94,Hispanic/Latino,27.6
Food cooking machine operators and tenders,13,Women,NA
Food cooking machine operators and tenders,13,White,NA
Food cooking machine operators and tenders,13,Black/African American,NA
Food cooking machine operators and tenders,13,Asian,NA
Food cooking machine operators and tenders,13,Hispanic/Latino,NA
"Food processing workers, all other",125,Women,36.9
"Food processing workers, all other",125,White,71.4
"Food processing workers, all other",125,Black/African American,17.9
"Food processing workers, all other",125,Asian,7.1
"Food processing workers, all other",125,Hispanic/Latino,36
Computer numerically controlled tool operators and programmers,105,Women,9
Computer numerically controlled tool operators and programmers,105,White,88.9
Computer numerically controlled tool operators and programmers,105,Black/African American,7.3
Computer numerically controlled tool operators and programmers,105,Asian,3.3
Computer numerically controlled tool operators and programmers,105,Hispanic/Latino,14.5
"Forming machine setters, operators, and tenders, metal and plastic",28,Women,NA
"Forming machine setters, operators, and tenders, metal and plastic",28,White,NA
"Forming machine setters, operators, and tenders, metal and plastic",28,Black/African American,NA
"Forming machine setters, operators, and tenders, metal and plastic",28,Asian,NA
"Forming machine setters, operators, and tenders, metal and plastic",28,Hispanic/Latino,NA
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",72,Women,15
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",72,White,78
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",72,Black/African American,18.7
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",72,Asian,2.7
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",72,Hispanic/Latino,22.8
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",41,Women,NA
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",41,White,NA
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",41,Black/African American,NA
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",41,Asian,NA
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",41,Hispanic/Latino,NA
"Other machine tool setters, operators, and tenders, metal and plastic",7,Women,NA
"Other machine tool setters, operators, and tenders, metal and plastic",7,White,NA
"Other machine tool setters, operators, and tenders, metal and plastic",7,Black/African American,NA
"Other machine tool setters, operators, and tenders, metal and plastic",7,Asian,NA
"Other machine tool setters, operators, and tenders, metal and plastic",7,Hispanic/Latino,NA
Machinists,290,Women,5.8
Machinists,290,White,91.7
Machinists,290,Black/African American,4.1
Machinists,290,Asian,3.1
Machinists,290,Hispanic/Latino,13.2
"Metal furnace operators, tenders, pourers, and casters",21,Women,NA
"Metal furnace operators, tenders, pourers, and casters",21,White,NA
"Metal furnace operators, tenders, pourers, and casters",21,Black/African American,NA
"Metal furnace operators, tenders, pourers, and casters",21,Asian,NA
"Metal furnace operators, tenders, pourers, and casters",21,Hispanic/Latino,NA
"Model makers and patternmakers, metal and plastic",8,Women,NA
"Model makers and patternmakers, metal and plastic",8,White,NA
"Model makers and patternmakers, metal and plastic",8,Black/African American,NA
"Model makers and patternmakers, metal and plastic",8,Asian,NA
"Model makers and patternmakers, metal and plastic",8,Hispanic/Latino,NA
"Molders and molding machine setters, operators, and tenders, metal and plastic",35,Women,NA
"Molders and molding machine setters, operators, and tenders, metal and plastic",35,White,NA
"Molders and molding machine setters, operators, and tenders, metal and plastic",35,Black/African American,NA
"Molders and molding machine setters, operators, and tenders, metal and plastic",35,Asian,NA
"Molders and molding machine setters, operators, and tenders, metal and plastic",35,Hispanic/Latino,NA
Tool and die makers,37,Women,NA
Tool and die makers,37,White,NA
Tool and die makers,37,Black/African American,NA
Tool and die makers,37,Asian,NA
Tool and die makers,37,Hispanic/Latino,NA
"Welding, soldering, and brazing workers",520,Women,3.8
"Welding, soldering, and brazing workers",520,White,86.9
"Welding, soldering, and brazing workers",520,Black/African American,7.4
"Welding, soldering, and brazing workers",520,Asian,2.7
"Welding, soldering, and brazing workers",520,Hispanic/Latino,23.1
Other metal workers and plastic workers,341,Women,22.2
Other metal workers and plastic workers,341,White,75.2
Other metal workers and plastic workers,341,Black/African American,16.7
Other metal workers and plastic workers,341,Asian,4.6
Other metal workers and plastic workers,341,Hispanic/Latino,26
Prepress technicians and workers,13,Women,NA
Prepress technicians and workers,13,White,NA
Prepress technicians and workers,13,Black/African American,NA
Prepress technicians and workers,13,Asian,NA
Prepress technicians and workers,13,Hispanic/Latino,NA
Printing press operators,128,Women,19.7
Printing press operators,128,White,83.7
Printing press operators,128,Black/African American,7.3
Printing press operators,128,Asian,5.8
Printing press operators,128,Hispanic/Latino,18.4
Print binding and finishing workers,17,Women,NA
Print binding and finishing workers,17,White,NA
Print binding and finishing workers,17,Black/African American,NA
Print binding and finishing workers,17,Asian,NA
Print binding and finishing workers,17,Hispanic/Latino,NA
Laundry and dry-cleaning workers,120,Women,71.5
Laundry and dry-cleaning workers,120,White,58
Laundry and dry-cleaning workers,120,Black/African American,25.6
Laundry and dry-cleaning workers,120,Asian,10
Laundry and dry-cleaning workers,120,Hispanic/Latino,26.7
"Pressers, textile, garment, and related materials",25,Women,NA
"Pressers, textile, garment, and related materials",25,White,NA
"Pressers, textile, garment, and related materials",25,Black/African American,NA
"Pressers, textile, garment, and related materials",25,Asian,NA
"Pressers, textile, garment, and related materials",25,Hispanic/Latino,NA
Sewing machine operators,131,Women,66.7
Sewing machine operators,131,White,73.5
Sewing machine operators,131,Black/African American,12.6
Sewing machine operators,131,Asian,10.8
Sewing machine operators,131,Hispanic/Latino,36.9
Shoe and leather workers,12,Women,NA
Shoe and leather workers,12,White,NA
Shoe and leather workers,12,Black/African American,NA
Shoe and leather workers,12,Asian,NA
Shoe and leather workers,12,Hispanic/Latino,NA
"Tailors, dressmakers, and sewers",64,Women,84.2
"Tailors, dressmakers, and sewers",64,White,66.7
"Tailors, dressmakers, and sewers",64,Black/African American,3.9
"Tailors, dressmakers, and sewers",64,Asian,28.5
"Tailors, dressmakers, and sewers",64,Hispanic/Latino,22.3
"Textile machine setters, operators, and tenders",16,Women,NA
"Textile machine setters, operators, and tenders",16,White,NA
"Textile machine setters, operators, and tenders",16,Black/African American,NA
"Textile machine setters, operators, and tenders",16,Asian,NA
"Textile machine setters, operators, and tenders",16,Hispanic/Latino,NA
Upholsterers,24,Women,NA
Upholsterers,24,White,NA
Upholsterers,24,Black/African American,NA
Upholsterers,24,Asian,NA
Upholsterers,24,Hispanic/Latino,NA
"Other textile, apparel, and furnishings workers",13,Women,NA
"Other textile, apparel, and furnishings workers",13,White,NA
"Other textile, apparel, and furnishings workers",13,Black/African American,NA
"Other textile, apparel, and furnishings workers",13,Asian,NA
"Other textile, apparel, and furnishings workers",13,Hispanic/Latino,NA
Cabinetmakers and bench carpenters,50,Women,7.8
Cabinetmakers and bench carpenters,50,White,91.5
Cabinetmakers and bench carpenters,50,Black/African American,6.4
Cabinetmakers and bench carpenters,50,Asian,1.3
Cabinetmakers and bench carpenters,50,Hispanic/Latino,27.2
Furniture finishers,13,Women,NA
Furniture finishers,13,White,NA
Furniture finishers,13,Black/African American,NA
Furniture finishers,13,Asian,NA
Furniture finishers,13,Hispanic/Latino,NA
"Sawing machine setters, operators, and tenders, wood",28,Women,NA
"Sawing machine setters, operators, and tenders, wood",28,White,NA
"Sawing machine setters, operators, and tenders, wood",28,Black/African American,NA
"Sawing machine setters, operators, and tenders, wood",28,Asian,NA
"Sawing machine setters, operators, and tenders, wood",28,Hispanic/Latino,NA
"Woodworking machine setters, operators, and tenders, except sawing",13,Women,NA
"Woodworking machine setters, operators, and tenders, except sawing",13,White,NA
"Woodworking machine setters, operators, and tenders, except sawing",13,Black/African American,NA
"Woodworking machine setters, operators, and tenders, except sawing",13,Asian,NA
"Woodworking machine setters, operators, and tenders, except sawing",13,Hispanic/Latino,NA
Other woodworkers,23,Women,NA
Other woodworkers,23,White,NA
Other woodworkers,23,Black/African American,NA
Other woodworkers,23,Asian,NA
Other woodworkers,23,Hispanic/Latino,NA
"Power plant operators, distributors, and dispatchers",41,Women,NA
"Power plant operators, distributors, and dispatchers",41,White,NA
"Power plant operators, distributors, and dispatchers",41,Black/African American,NA
"Power plant operators, distributors, and dispatchers",41,Asian,NA
"Power plant operators, distributors, and dispatchers",41,Hispanic/Latino,NA
Stationary engineers and boiler operators,56,Women,10.6
Stationary engineers and boiler operators,56,White,77.5
Stationary engineers and boiler operators,56,Black/African American,14.4
Stationary engineers and boiler operators,56,Asian,4.9
Stationary engineers and boiler operators,56,Hispanic/Latino,10.7
Water and wastewater treatment plant and system operators,112,Women,11
Water and wastewater treatment plant and system operators,112,White,88.9
Water and wastewater treatment plant and system operators,112,Black/African American,8.4
Water and wastewater treatment plant and system operators,112,Asian,0.9
Water and wastewater treatment plant and system operators,112,Hispanic/Latino,8.6
Miscellaneous plant and system operators,43,Women,NA
Miscellaneous plant and system operators,43,White,NA
Miscellaneous plant and system operators,43,Black/African American,NA
Miscellaneous plant and system operators,43,Asian,NA
Miscellaneous plant and system operators,43,Hispanic/Latino,NA
"Chemical processing machine setters, operators, and tenders",49,Women,NA
"Chemical processing machine setters, operators, and tenders",49,White,NA
"Chemical processing machine setters, operators, and tenders",49,Black/African American,NA
"Chemical processing machine setters, operators, and tenders",49,Asian,NA
"Chemical processing machine setters, operators, and tenders",49,Hispanic/Latino,NA
"Crushing, grinding, polishing, mixing, and blending workers",79,Women,19.9
"Crushing, grinding, polishing, mixing, and blending workers",79,White,81.6
"Crushing, grinding, polishing, mixing, and blending workers",79,Black/African American,16.3
"Crushing, grinding, polishing, mixing, and blending workers",79,Asian,1.1
"Crushing, grinding, polishing, mixing, and blending workers",79,Hispanic/Latino,19.2
Cutting workers,54,Women,27.1
Cutting workers,54,White,86.9
Cutting workers,54,Black/African American,9.4
Cutting workers,54,Asian,2.3
Cutting workers,54,Hispanic/Latino,26.2
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",23,Women,NA
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",23,White,NA
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",23,Black/African American,NA
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",23,Asian,NA
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",23,Hispanic/Latino,NA
"Furnace, kiln, oven, drier, and kettle operators and tenders",12,Women,NA
"Furnace, kiln, oven, drier, and kettle operators and tenders",12,White,NA
"Furnace, kiln, oven, drier, and kettle operators and tenders",12,Black/African American,NA
"Furnace, kiln, oven, drier, and kettle operators and tenders",12,Asian,NA
"Furnace, kiln, oven, drier, and kettle operators and tenders",12,Hispanic/Latino,NA
"Inspectors, testers, sorters, samplers, and weighers",751,Women,38.7
"Inspectors, testers, sorters, samplers, and weighers",751,White,77.2
"Inspectors, testers, sorters, samplers, and weighers",751,Black/African American,11.4
"Inspectors, testers, sorters, samplers, and weighers",751,Asian,7.6
"Inspectors, testers, sorters, samplers, and weighers",751,Hispanic/Latino,20.6
Jewelers and precious stone and metal workers,48,Women,NA
Jewelers and precious stone and metal workers,48,White,NA
Jewelers and precious stone and metal workers,48,Black/African American,NA
Jewelers and precious stone and metal workers,48,Asian,NA
Jewelers and precious stone and metal workers,48,Hispanic/Latino,NA
Dental and ophthalmic laboratory technicians and medical appliance technicians,74,Women,59.9
Dental and ophthalmic laboratory technicians and medical appliance technicians,74,White,91
Dental and ophthalmic laboratory technicians and medical appliance technicians,74,Black/African American,4.4
Dental and ophthalmic laboratory technicians and medical appliance technicians,74,Asian,4.6
Dental and ophthalmic laboratory technicians and medical appliance technicians,74,Hispanic/Latino,17
Packaging and filling machine operators and tenders,252,Women,45.8
Packaging and filling machine operators and tenders,252,White,69.9
Packaging and filling machine operators and tenders,252,Black/African American,20.8
Packaging and filling machine operators and tenders,252,Asian,4.1
Packaging and filling machine operators and tenders,252,Hispanic/Latino,41.2
Painting workers,148,Women,8.1
Painting workers,148,White,87
Painting workers,148,Black/African American,7.8
Painting workers,148,Asian,1.5
Painting workers,148,Hispanic/Latino,32.2
Photographic process workers and processing machine operators,10,Women,NA
Photographic process workers and processing machine operators,10,White,NA
Photographic process workers and processing machine operators,10,Black/African American,NA
Photographic process workers and processing machine operators,10,Asian,NA
Photographic process workers and processing machine operators,10,Hispanic/Latino,NA
Adhesive bonding machine operators and tenders,11,Women,NA
Adhesive bonding machine operators and tenders,11,White,NA
Adhesive bonding machine operators and tenders,11,Black/African American,NA
Adhesive bonding machine operators and tenders,11,Asian,NA
Adhesive bonding machine operators and tenders,11,Hispanic/Latino,NA
Etchers and engravers,5,Women,NA
Etchers and engravers,5,White,NA
Etchers and engravers,5,Black/African American,NA
Etchers and engravers,5,Asian,NA
Etchers and engravers,5,Hispanic/Latino,NA
"Molders, shapers, and casters, except metal and plastic",26,Women,NA
"Molders, shapers, and casters, except metal and plastic",26,White,NA
"Molders, shapers, and casters, except metal and plastic",26,Black/African American,NA
"Molders, shapers, and casters, except metal and plastic",26,Asian,NA
"Molders, shapers, and casters, except metal and plastic",26,Hispanic/Latino,NA
"Paper goods machine setters, operators, and tenders",22,Women,NA
"Paper goods machine setters, operators, and tenders",22,White,NA
"Paper goods machine setters, operators, and tenders",22,Black/African American,NA
"Paper goods machine setters, operators, and tenders",22,Asian,NA
"Paper goods machine setters, operators, and tenders",22,Hispanic/Latino,NA
Tire builders,2,Women,NA
Tire builders,2,White,NA
Tire builders,2,Black/African American,NA
Tire builders,2,Asian,NA
Tire builders,2,Hispanic/Latino,NA
Helpers--production workers,38,Women,NA
Helpers--production workers,38,White,NA
Helpers--production workers,38,Black/African American,NA
Helpers--production workers,38,Asian,NA
Helpers--production workers,38,Hispanic/Latino,NA
Other production equipment operators and tenders,8,Women,NA
Other production equipment operators and tenders,8,White,NA
Other production equipment operators and tenders,8,Black/African American,NA
Other production equipment operators and tenders,8,Asian,NA
Other production equipment operators and tenders,8,Hispanic/Latino,NA
Other production workers,1046,Women,27.6
Other production workers,1046,White,74
Other production workers,1046,Black/African American,15.3
Other production workers,1046,Asian,6.2
Other production workers,1046,Hispanic/Latino,27.2
Transportation and material moving occupations,10625,Women,20.5
Transportation and material moving occupations,10625,White,72.3
Transportation and material moving occupations,10625,Black/African American,19.4
Transportation and material moving occupations,10625,Asian,4.2
Transportation and material moving occupations,10625,Hispanic/Latino,23.9
Supervisors of transportation and material moving workers,265,Women,23.5
Supervisors of transportation and material moving workers,265,White,73.8
Supervisors of transportation and material moving workers,265,Black/African American,14.8
Supervisors of transportation and material moving workers,265,Asian,5.7
Supervisors of transportation and material moving workers,265,Hispanic/Latino,23.2
Aircraft pilots and flight engineers,155,Women,5.6
Aircraft pilots and flight engineers,155,White,94
Aircraft pilots and flight engineers,155,Black/African American,3.4
Aircraft pilots and flight engineers,155,Asian,2.2
Aircraft pilots and flight engineers,155,Hispanic/Latino,5
Air traffic controllers and airfield operations specialists,38,Women,NA
Air traffic controllers and airfield operations specialists,38,White,NA
Air traffic controllers and airfield operations specialists,38,Black/African American,NA
Air traffic controllers and airfield operations specialists,38,Asian,NA
Air traffic controllers and airfield operations specialists,38,Hispanic/Latino,NA
Flight attendants,81,Women,79.7
Flight attendants,81,White,65
Flight attendants,81,Black/African American,19.3
Flight attendants,81,Asian,10.6
Flight attendants,81,Hispanic/Latino,10.3
"Ambulance drivers and attendants, except emergency medical technicians",10,Women,NA
"Ambulance drivers and attendants, except emergency medical technicians",10,White,NA
"Ambulance drivers and attendants, except emergency medical technicians",10,Black/African American,NA
"Ambulance drivers and attendants, except emergency medical technicians",10,Asian,NA
"Ambulance drivers and attendants, except emergency medical technicians",10,Hispanic/Latino,NA
"Bus drivers, school",201,Women,58.5
"Bus drivers, school",201,White,73
"Bus drivers, school",201,Black/African American,21.5
"Bus drivers, school",201,Asian,1.9
"Bus drivers, school",201,Hispanic/Latino,7.9
"Bus drivers, transit and intercity",187,Women,40.7
"Bus drivers, transit and intercity",187,White,56.1
"Bus drivers, transit and intercity",187,Black/African American,37
"Bus drivers, transit and intercity",187,Asian,3.6
"Bus drivers, transit and intercity",187,Hispanic/Latino,17.7
Driver/sales workers and truck drivers,3364,Women,7.8
Driver/sales workers and truck drivers,3364,White,76.9
Driver/sales workers and truck drivers,3364,Black/African American,16.8
Driver/sales workers and truck drivers,3364,Asian,2.9
Driver/sales workers and truck drivers,3364,Hispanic/Latino,22.6
Shuttle drivers and chauffeurs,88,Women,16.3
Shuttle drivers and chauffeurs,88,White,61.6
Shuttle drivers and chauffeurs,88,Black/African American,24.5
Shuttle drivers and chauffeurs,88,Asian,12.6
Shuttle drivers and chauffeurs,88,Hispanic/Latino,24.9
Taxi drivers,327,Women,15.1
Taxi drivers,327,White,57.9
Taxi drivers,327,Black/African American,27.7
Taxi drivers,327,Asian,11.9
Taxi drivers,327,Hispanic/Latino,25.3
"Motor vehicle operators, all other",143,Women,22.6
"Motor vehicle operators, all other",143,White,71.8
"Motor vehicle operators, all other",143,Black/African American,17.8
"Motor vehicle operators, all other",143,Asian,9.6
"Motor vehicle operators, all other",143,Hispanic/Latino,17
Locomotive engineers and operators,55,Women,7.7
Locomotive engineers and operators,55,White,73.5
Locomotive engineers and operators,55,Black/African American,18.6
Locomotive engineers and operators,55,Asian,3
Locomotive engineers and operators,55,Hispanic/Latino,22.6
Railroad conductors and yardmasters,40,Women,NA
Railroad conductors and yardmasters,40,White,NA
Railroad conductors and yardmasters,40,Black/African American,NA
Railroad conductors and yardmasters,40,Asian,NA
Railroad conductors and yardmasters,40,Hispanic/Latino,NA
Other rail transportation workers,12,Women,NA
Other rail transportation workers,12,White,NA
Other rail transportation workers,12,Black/African American,NA
Other rail transportation workers,12,Asian,NA
Other rail transportation workers,12,Hispanic/Latino,NA
Sailors and marine oilers,19,Women,NA
Sailors and marine oilers,19,White,NA
Sailors and marine oilers,19,Black/African American,NA
Sailors and marine oilers,19,Asian,NA
Sailors and marine oilers,19,Hispanic/Latino,NA
Ship and boat captains and operators,31,Women,NA
Ship and boat captains and operators,31,White,NA
Ship and boat captains and operators,31,Black/African American,NA
Ship and boat captains and operators,31,Asian,NA
Ship and boat captains and operators,31,Hispanic/Latino,NA
Ship engineers,3,Women,NA
Ship engineers,3,White,NA
Ship engineers,3,Black/African American,NA
Ship engineers,3,Asian,NA
Ship engineers,3,Hispanic/Latino,NA
Parking attendants,53,Women,19.3
Parking attendants,53,White,59.7
Parking attendants,53,Black/African American,34
Parking attendants,53,Asian,3.7
Parking attendants,53,Hispanic/Latino,30.2
Transportation service attendants,93,Women,13.8
Transportation service attendants,93,White,67.8
Transportation service attendants,93,Black/African American,16.6
Transportation service attendants,93,Asian,12.6
Transportation service attendants,93,Hispanic/Latino,10.2
Transportation inspectors,35,Women,NA
Transportation inspectors,35,White,NA
Transportation inspectors,35,Black/African American,NA
Transportation inspectors,35,Asian,NA
Transportation inspectors,35,Hispanic/Latino,NA
Passenger attendants,21,Women,NA
Passenger attendants,21,White,NA
Passenger attendants,21,Black/African American,NA
Passenger attendants,21,Asian,NA
Passenger attendants,21,Hispanic/Latino,NA
Other transportation workers,25,Women,NA
Other transportation workers,25,White,NA
Other transportation workers,25,Black/African American,NA
Other transportation workers,25,Asian,NA
Other transportation workers,25,Hispanic/Latino,NA
Crane and tower operators,54,Women,0.8
Crane and tower operators,54,White,93.5
Crane and tower operators,54,Black/African American,5.9
Crane and tower operators,54,Asian,0.1
Crane and tower operators,54,Hispanic/Latino,10.1
"Conveyor, dredge, and hoist and winch operators",30,Women,NA
"Conveyor, dredge, and hoist and winch operators",30,White,NA
"Conveyor, dredge, and hoist and winch operators",30,Black/African American,NA
"Conveyor, dredge, and hoist and winch operators",30,Asian,NA
"Conveyor, dredge, and hoist and winch operators",30,Hispanic/Latino,NA
Industrial truck and tractor operators,553,Women,7
Industrial truck and tractor operators,553,White,66.5
Industrial truck and tractor operators,553,Black/African American,25.5
Industrial truck and tractor operators,553,Asian,2.5
Industrial truck and tractor operators,553,Hispanic/Latino,31.2
Cleaners of vehicles and equipment,344,Women,19.2
Cleaners of vehicles and equipment,344,White,73.9
Cleaners of vehicles and equipment,344,Black/African American,19.2
Cleaners of vehicles and equipment,344,Asian,3.7
Cleaners of vehicles and equipment,344,Hispanic/Latino,34.6
"Laborers and freight, stock, and material movers, hand",1995,Women,20.5
"Laborers and freight, stock, and material movers, hand",1995,White,72.2
"Laborers and freight, stock, and material movers, hand",1995,Black/African American,18.6
"Laborers and freight, stock, and material movers, hand",1995,Asian,4
"Laborers and freight, stock, and material movers, hand",1995,Hispanic/Latino,28
Machine feeders and offbearers,11,Women,NA
Machine feeders and offbearers,11,White,NA
Machine feeders and offbearers,11,Black/African American,NA
Machine feeders and offbearers,11,Asian,NA
Machine feeders and offbearers,11,Hispanic/Latino,NA
"Packers and packagers, hand",640,Women,51.4
"Packers and packagers, hand",640,White,63
"Packers and packagers, hand",640,Black/African American,25.9
"Packers and packagers, hand",640,Asian,8
"Packers and packagers, hand",640,Hispanic/Latino,32.5
Stockers and order fillers,1570,Women,35
Stockers and order fillers,1570,White,70.4
Stockers and order fillers,1570,Black/African American,19.9
Stockers and order fillers,1570,Asian,3.9
Stockers and order fillers,1570,Hispanic/Latino,22.3
Pumping station operators,20,Women,NA
Pumping station operators,20,White,NA
Pumping station operators,20,Black/African American,NA
Pumping station operators,20,Asian,NA
Pumping station operators,20,Hispanic/Latino,NA
Refuse and recyclable material collectors,98,Women,9.7
Refuse and recyclable material collectors,98,White,68.9
Refuse and recyclable material collectors,98,Black/African American,27.9
Refuse and recyclable material collectors,98,Asian,1.3
Refuse and recyclable material collectors,98,Hispanic/Latino,31.4
Other material moving workers,62,Women,18.2
Other material moving workers,62,White,79
Other material moving workers,62,Black/African American,18.6
Other material moving workers,62,Asian,0
Other material moving workers,62,Hispanic/Latino,14.3
"NOTE: Estimates for the above race groups (White, Black or African American, and Asian) do not sum to totals because data are not presented for all races. Persons whose ethnicity is identified as Hispanic or Latino may be of any race. Updated population controls are introduced annually with the release of January data. Effective with January 2020 data, occupations reflect the introduction of the 2018 Census occupational classification system, derived from the 2018 Standard Occupational Classification (SOC). No historical data have been revised. Data for 2020 are not strictly comparable with earlier years. Dash indicates no data or data that do not meet publication criteria (values not shown where base is less than 50,000).",NA,Women,NA
"NOTE: Estimates for the above race groups (White, Black or African American, and Asian) do not sum to totals because data are not presented for all races. Persons whose ethnicity is identified as Hispanic or Latino may be of any race. Updated population controls are introduced annually with the release of January data. Effective with January 2020 data, occupations reflect the introduction of the 2018 Census occupational classification system, derived from the 2018 Standard Occupational Classification (SOC). No historical data have been revised. Data for 2020 are not strictly comparable with earlier years. Dash indicates no data or data that do not meet publication criteria (values not shown where base is less than 50,000).",NA,White,NA
"NOTE: Estimates for the above race groups (White, Black or African American, and Asian) do not sum to totals because data are not presented for all races. Persons whose ethnicity is identified as Hispanic or Latino may be of any race. Updated population controls are introduced annually with the release of January data. Effective with January 2020 data, occupations reflect the introduction of the 2018 Census occupational classification system, derived from the 2018 Standard Occupational Classification (SOC). No historical data have been revised. Data for 2020 are not strictly comparable with earlier years. Dash indicates no data or data that do not meet publication criteria (values not shown where base is less than 50,000).",NA,Black/African American,NA
"NOTE: Estimates for the above race groups (White, Black or African American, and Asian) do not sum to totals because data are not presented for all races. Persons whose ethnicity is identified as Hispanic or Latino may be of any race. Updated population controls are introduced annually with the release of January data. Effective with January 2020 data, occupations reflect the introduction of the 2018 Census occupational classification system, derived from the 2018 Standard Occupational Classification (SOC). No historical data have been revised. Data for 2020 are not strictly comparable with earlier years. Dash indicates no data or data that do not meet publication criteria (values not shown where base is less than 50,000).",NA,Asian,NA
"NOTE: Estimates for the above race groups (White, Black or African American, and Asian) do not sum to totals because data are not presented for all races. Persons whose ethnicity is identified as Hispanic or Latino may be of any race. Updated population controls are introduced annually with the release of January data. Effective with January 2020 data, occupations reflect the introduction of the 2018 Census occupational classification system, derived from the 2018 Standard Occupational Classification (SOC). No historical data have been revised. Data for 2020 are not strictly comparable with earlier years. Dash indicates no data or data that do not meet publication criteria (values not shown where base is less than 50,000).",NA,Hispanic/Latino,NA
